,graph_name,reordering_strategy,system,infrastructure,speedup,MeanDegree,Clustering,graph_type
159,rmat-22-35,metis-8192,dgl,cuda,1.0116405770516033,96.93,0.13,rmat
160,rmat-22-35,HubCluster,dgl,cpu,0.3415613600520358,96.93,0.13,rmat
161,rmat-22-35,slashburn,dgl,cpu,0.32152866486568044,96.93,0.13,rmat
162,rmat-22-35,gorder,dgl,cpu,0.36686197991886554,96.93,0.13,rmat
163,rmat-22-35,rcm,dgl,cpu,0.59288155179673,96.93,0.13,rmat
164,rmat-22-35,metis-16,dgl,cpu,0.6259288431940437,96.93,0.13,rmat
165,rmat-22-35,minla,dgl,cpu,0.4437521090804051,96.93,0.13,rmat
166,rmat-22-35,dfs,dgl,cpu,0.599428720556671,96.93,0.13,rmat
167,rmat-22-35,metis-8192,dgl,cpu,0.519051551666166,96.93,0.13,rmat
168,rmat-22-35,DegSort,dgl,cpu,0.34105760865173007,96.93,0.13,rmat
169,rmat-22-35,metis-128,dgl,cpu,0.895785340338972,96.93,0.13,rmat
170,rmat-22-35,rabbit,dgl,cpu,0.9329572869844095,96.93,0.13,rmat
171,rmat-22-35,HubSort,dgl,cpu,0.33823976099617026,96.93,0.13,rmat
172,rmat-22-35,bfs,dgl,cpu,0.3022527654545883,96.93,0.13,rmat
173,rmat-22-35,metis-1024,dgl,cpu,1.0008121358015571,96.93,0.13,rmat
174,rmat-22-35,ldg,dgl,cpu,0.9722453969117795,96.93,0.13,rmat
175,rmat-22-35,metis-65536,dgl,cpu,0.3647641289260952,96.93,0.13,rmat
176,rmat-22-35,HubSort,pyg,cpu,0.8709345783789768,96.93,0.13,rmat
177,rmat-22-35,rcm,pyg,cpu,0.9449383719923423,96.93,0.13,rmat
178,rmat-22-35,gorder,pyg,cpu,0.8500385719037158,96.93,0.13,rmat
179,rmat-22-35,DegSort,pyg,cpu,0.8467996791088588,96.93,0.13,rmat
180,rmat-22-35,metis-128,pyg,cpu,0.9919205384173511,96.93,0.13,rmat
181,rmat-22-35,minla,pyg,cpu,0.9374340027144763,96.93,0.13,rmat
182,rmat-22-35,metis-8192,pyg,cpu,0.968459851729536,96.93,0.13,rmat
183,rmat-22-35,HubCluster,pyg,cpu,0.8795080506023958,96.93,0.13,rmat
184,rmat-22-35,slashburn,pyg,cpu,0.8429663616759001,96.93,0.13,rmat
185,rmat-22-35,metis-1024,pyg,cpu,1.001402665655282,96.93,0.13,rmat
186,rmat-22-35,rabbit,pyg,cpu,0.9913859843185399,96.93,0.13,rmat
187,rmat-22-35,dfs,pyg,cpu,0.9887334271622641,96.93,0.13,rmat
188,rmat-22-35,metis-16,pyg,cpu,0.9661929028988628,96.93,0.13,rmat
189,rmat-22-35,ldg,pyg,cpu,0.9925356389032942,96.93,0.13,rmat
190,rmat-22-35,bfs,pyg,cpu,0.8616357633463879,96.93,0.13,rmat
191,rmat-22-35,metis-65536,pyg,cpu,0.9067985804971503,96.93,0.13,rmat
192,barabasi-V_3000000-K_90,minla,dgl,cuda,1.0283296754172986,90.0,0.0,barabasi
193,barabasi-V_3000000-K_90,metis-1024,dgl,cuda,1.0191873491226335,90.0,0.0,barabasi
